,title,commentCount,dislikeCount,likeCount,music_style,performer,viewCount,commentators_uniq,date
13874,Нюша / Nyusha - Европа плюс LIVE 2009 ( Вою на луну ),1.0,6.0,106.0,popsa,нюша,33954.0,1.0,2009-08-24
13875,Нюша / Nyusha - Не перебивай (Европа плюс LIVE 2011),14.0,21.0,234.0,popsa,нюша,62040.0,13.0,2011-08-03
13876,Нюша / Nyusha - Новогодняя песня,41.0,47.0,631.0,popsa,нюша,357018.0,35.0,2011-12-29
13877,"Нюша / Nyusha - Проект ""Звезды против курения""",3.0,5.0,56.0,popsa,нюша,26637.0,2.0,2010-04-13
13878,Нюша / Nyusha - Съемки клипа Выше (Lifenews),14.0,11.0,178.0,popsa,нюша,78465.0,10.0,2011-10-30
13879,Нюша / Nyusha - Съемки клипа Выше(Redstar.ru),44.0,55.0,817.0,popsa,нюша,314299.0,37.0,2011-10-30
13880,Нюша / Nyusha - Чудо (Live.Шоколадная весна на МузЕ 2011),8.0,7.0,64.0,popsa,нюша,16840.0,8.0,2011-07-01
13881,Нюша / Nyusha - Чудо (Европа плюс LIVE 2010),75.0,65.0,603.0,popsa,нюша,474719.0,61.0,2010-08-03
13882,Нюша / Nyusha – «Тебя любить» #пазллюбви,58.0,139.0,651.0,popsa,нюша,48246.0,45.0,2017-02-15
13883,"Нюша / Nyusha – Автограф-сессия, ЦДМ, 28 октября",20.0,6.0,329.0,popsa,нюша,9992.0,15.0,2016-10-31
13884,"Нюша vs Д Джокер ""Кулинарный поединок"" (2011)",23.0,19.0,317.0,popsa,нюша,83672.0,22.0,2011-11-08
13885,"Нюша в Таллине. Интервью, 02.07.15",24.0,11.0,318.0,popsa,нюша,20713.0,,2015-07-04
13886,Нюша в Турции 1 — RU Новости — 26.5.11,1.0,4.0,30.0,popsa,нюша,8570.0,1.0,2011-05-27
13887,Нюша в Турции 2 — RU Новости — 26.5.11,1.0,7.0,54.0,popsa,нюша,59526.0,1.0,2011-05-27
13888,"Нюша в гостях на реалити-шоу ""Топ-модель по-русски""",12.0,12.0,193.0,popsa,нюша,114867.0,14.0,2011-05-05
13889,"Нюша в фотосессии свадебного журнала ""Wedding""",23.0,14.0,228.0,popsa,нюша,82503.0,20.0,2011-05-26
13890,Нюша готовится к 'Big Love Show 2012',25.0,36.0,673.0,popsa,нюша,226412.0,24.0,2012-02-18
13891,Нюша занималась тайским боксом ( MTV ),5.0,13.0,115.0,popsa,нюша,42593.0,5.0,2010-04-13
13892,Нюша и Влад Соколовкий - Недотрога (Две звезды 31.12.2011),63.0,120.0,1767.0,popsa,нюша,599293.0,51.0,2012-01-03
13893,Нюша и Влад Соколовский - Стиляги Шоу.,3.0,14.0,75.0,popsa,нюша,41368.0,,2011-11-23
13894,Нюша и Мария Шурочкина о Детском телефоне доверия,25.0,16.0,526.0,popsa,нюша,25785.0,22.0,2015-10-07
13895,Нюша и Митя Фомин - Секрет кухни (05.11.2011),2.0,7.0,92.0,popsa,нюша,23100.0,2.0,2011-11-08
13896,Нюша и Тимур Родригез - Nobody Wants To Be Lonely (Стиляги Шоу),70.0,58.0,1159.0,popsa,нюша,339130.0,65.0,2011-12-29
13897,Нюша и Юрий Антонов - Я вспоминаю (Оливье-шоу 2012),11.0,12.0,137.0,popsa,нюша,42390.0,9.0,2012-01-04
13898,"Нюша и команда ""Doberman"" - реалити-шоу ""Танцуй""",2.0,7.0,74.0,popsa,нюша,19745.0,,2011-12-02
13899,Нюша на Europa Plus TV !,2.0,4.0,20.0,popsa,нюша,8539.0,2.0,2011-04-17
13900,"Нюша на Дне Рожденья ""Европы Плюс Казахстан""!",2.0,3.0,13.0,popsa,нюша,2273.0,2.0,2011-04-17
13901,Нюша на Золотом Граммофоне (2011. Питер),3.0,7.0,98.0,popsa,нюша,24455.0,3.0,2011-12-02
13902,"Нюша на Радио ""Маяк"" (Первый отряд) 2012",9.0,12.0,165.0,popsa,нюша,38857.0,9.0,2012-02-03
13903,Нюша на церемонии закрытия сезона КХЛ 2010-2011,5.0,6.0,29.0,popsa,нюша,9733.0,5.0,2011-05-27
13904,Нюша навестила детей в РДКБ,136.0,9.0,956.0,popsa,нюша,23902.0,91.0,2016-03-23
13905,Нюша о своем бренде – Nyusha Wear,86.0,46.0,611.0,popsa,нюша,14902.0,,2019-02-20
13906,Нюша объявляет  результаты голосования Российского жюри конкурса «Евровидение-2016»!,60.0,73.0,659.0,popsa,нюша,78451.0,34.0,2016-05-16
13907,Нюша объявляет победителей конкурса «Сними своё видео на песню Целуй»(2016),29.0,18.0,464.0,popsa,нюша,28731.0,24.0,2016-06-24
13908,Нюша показывает свой гардероб. Тренди 8.5.2011,64.0,67.0,1156.0,popsa,нюша,405980.0,56.0,2011-05-27
13909,Нюша представит Россию на MTV EMA 2011,13.0,14.0,102.0,popsa,нюша,31790.0,11.0,2011-10-21
13910,"Нюша приглашает Воронеж на шоу ""9 Жизней"" (2017)",33.0,15.0,280.0,popsa,нюша,10645.0,28.0,2017-02-14
13911,Нюша устроила эротику на камеру (RU Новости),17.0,80.0,241.0,popsa,нюша,217524.0,12.0,2011-05-23
13912,"Нюша — о Ларисе Анисимовой, которая стала жертвой мошенников",40.0,55.0,768.0,popsa,нюша,48915.0,33.0,2017-03-28
13913,"Нюша, Доминик Джокер, Макпал  - Звёздное Лето",11.0,10.0,176.0,popsa,нюша,64008.0,11.0,2011-02-04
13914,"Нюша. News block MTV (съемки клипа ""Больно"" )",6.0,5.0,93.0,popsa,нюша,34098.0,6.0,2011-04-29
13915,Нюше вручили VOLVO C30 ( MTV ),53.0,41.0,626.0,popsa,нюша,220211.0,34.0,2011-06-24
13916,Ням-ням,0.0,2.0,4.0,estrada,пугачёва,242.0,,2018-02-03
13917,О выступлении Валерии в 'Шире круг' в программе 'Сегодня вечером',0.0,2.0,14.0,estrada,валерия,1816.0,,2014-06-18
13918,О городе Калинине,1.0,0.0,3.0,shanson,михаил_круг,404.0,,2018-04-05
13919,"О группе ""Металика""...В Гостях АЛЕКСЕЙ ГОРШЕНЁВ.",15.0,16.0,77.0,rock,кукрыниксы,8784.0,12.0,2011-11-03
13920,"О концерте Валерии в Лондоне ( ""Сегодня"" НТВ)",6.0,,,estrada,валерия,5536.0,6.0,2016-01-30
13921,О любви,0.0,3.0,12.0,shanson,трофимов,740.0,,2018-05-07
13922,О любви не говори,0.0,0.0,0.0,estrada,пугачёва,91.0,,2018-05-16
13923,О любви не говори,0.0,0.0,2.0,estrada,пугачёва,1474.0,,2016-04-14
13924,О отшествии преподобнаго в пустыню от славы...,0.0,0.0,4.0,rock,гражданская_оборона,140.0,,2018-08-17
13925,"О том, как женщины ходили жаловаться на мужчин к богу",0.0,1.0,37.0,shanson,михаил_круг,6480.0,,2018-08-20
13926,О чём ещё говорят мужчины (2011) [трейлер],5.0,5.0,98.0,rock,несчастный_случай,98703.0,5.0,2011-11-16
13927,"О, женщины! Поет М. Шуфутинский.",0.0,0.0,1.0,shanson,шуфутинский,370.0,,2016-12-03
13928,ОДОЛЖИТЕ НАМ СВОЮ МАТЬ!,0.0,0.0,6.0,popsa,serebro,1503.0,,2012-01-23
13929,ОН (Мир номер ноль),0.0,0.0,5.0,rock,ддт,1160.0,,2016-09-09
13930,ОНКЕН-ONKEN-----МИША ШУФУТИНСКИЙ--- Прощальное письмо,0.0,0.0,0.0,shanson,шуфутинский,27.0,,2018-06-25
13931,ОНКЕН-ONKEN----МИША ШУФУТИНСКИЙ---- Зимний вечер,0.0,0.0,0.0,shanson,шуфутинский,42.0,,2018-06-25
13932,ОНКЕН-ONKEN----МИША ШУФУТИНСКИЙ----Ваня (народная),0.0,0.0,0.0,shanson,шуфутинский,114.0,,2018-06-25
13933,ОНКЕН-ONKEN---МИША ШУФУТИНСКИЙ-----Так вот какая ты,0.0,0.0,1.0,shanson,шуфутинский,33.0,,2018-06-25
13934,Обезьяна и орёл,0.0,130.0,516.0,rock,ленинград,33821.0,,2016-12-01
13935,Облака,0.0,2.0,14.0,indi,наадя,823.0,,2017-10-27
13936,Облака (Summer of Haze Remix),1.0,0.0,28.0,indi,наадя,732.0,1.0,2018-08-16
13937,Облака (Саша Елина Remix),0.0,0.0,3.0,indi,наадя,100.0,,2018-08-16
13938,Облака и острова,1.0,0.0,8.0,indi,женя_любич,385.0,1.0,2016-12-24
13939,"Обложка альбома ""Пиратские копии""",10.0,1.0,97.0,rock,мумий_тролль,4460.0,6.0,2015-04-03
13940,Обман,3.0,33.0,341.0,rock,ария,19580.0,,2018-05-27
13941,Обмани меня (feat. БумеR),1.0,9.0,79.0,shanson,воровайки,9803.0,,2018-05-31
13942,Обнимай. Группа Кукрыниксы - живой концерт. Соль Захара Прилепина на РЕН ТВ,18.0,8.0,226.0,rock,кукрыниксы,16200.0,11.0,2017-04-12
13943,Обосраться и не жить,0.0,0.0,6.0,rock,гражданская_оборона,583.0,,2018-06-13
13944,Обращение Градусов об изменениях в группе,25.0,59.0,89.0,popsa,градусы,20989.0,20.0,2015-04-26
13945,Обращение Дианы Арбениной по гастрольному туру,323.0,3371.0,2580.0,rock,арбенина,350344.0,222.0,2014-09-11
13946,Обращение Елены Ваенги к своим поклонникам.,29.0,17.0,156.0,estrada,ваенга,16261.0,52.0,2012-05-03
13947,Обращение Елены Ваенги к своим поклонникам.,27.0,7.0,165.0,estrada,ваенга,11717.0,52.0,2012-05-03
13948,"Общество ""Память""",0.0,1.0,6.0,rock,летов,814.0,,2015-04-05
